Customer ID,Order ID,Order Date,Ship Date,Ship Mode
CG-12520,CA-2013-152156,09-11-2013,12-11-2013,Second Class
CG-12520,CA-2013-152156,09-11-2013,12-11-2013,Second Class
DV-13045,CA-2013-138688,13-06-2013,17-06-2013,Second Class
SO-20335,US-2012-108966,11-10-2012,18-10-2012,Standard Class
SO-20335,US-2012-108966,11-10-2012,18-10-2012,Standard Class
BH-11710,CA-2011-115812,09-06-2011,14-06-2011,Standard Class
BH-11710,CA-2011-115812,09-06-2011,14-06-2011,Standard Class
BH-11710,CA-2011-115812,09-06-2011,14-06-2011,Standard Class
BH-11710,CA-2011-115812,09-06-2011,14-06-2011,Standard Class
BH-11710,CA-2011-115812,09-06-2011,14-06-2011,Standard Class
BH-11710,CA-2011-115812,09-06-2011,14-06-2011,Standard Class
BH-11710,CA-2011-115812,09-06-2011,14-06-2011,Standard Class
AA-10480,CA-2014-114412,16-04-2014,21-04-2014,Standard Class
IM-15070,CA-2013-161389,06-12-2013,11-12-2013,Standard Class
HP-14815,US-2012-118983,22-11-2012,26-11-2012,Standard Class
HP-14815,US-2012-118983,22-11-2012,26-11-2012,Standard Class
PK-19075,CA-2011-105893,11-11-2011,18-11-2011,Standard Class
AG-10270,CA-2011-167164,13-05-2011,15-05-2011,Second Class
ZD-21925,CA-2011-143336,27-08-2011,01-09-2011,Second Class
ZD-21925,CA-2011-143336,27-08-2011,01-09-2011,Second Class
ZD-21925,CA-2011-143336,27-08-2011,01-09-2011,Second Class
KB-16585,CA-2013-137330,10-12-2013,14-12-2013,Standard Class
KB-16585,CA-2013-137330,10-12-2013,14-12-2013,Standard Class
SF-20065,US-2014-156909,17-07-2014,19-07-2014,Second Class
EB-13870,CA-2012-106320,25-09-2012,30-09-2012,Standard Class
EH-13945,CA-2013-121755,16-01-2013,20-01-2013,Second Class
EH-13945,CA-2013-121755,16-01-2013,20-01-2013,Second Class
TB-21520,US-2012-150630,17-09-2012,21-09-2012,Standard Class
TB-21520,US-2012-150630,17-09-2012,21-09-2012,Standard Class
TB-21520,US-2012-150630,17-09-2012,21-09-2012,Standard Class
TB-21520,US-2012-150630,17-09-2012,21-09-2012,Standard Class
TB-21520,US-2012-150630,17-09-2012,21-09-2012,Standard Class
TB-21520,US-2012-150630,17-09-2012,21-09-2012,Standard Class
TB-21520,US-2012-150630,17-09-2012,21-09-2012,Standard Class
MA-17560,CA-2014-107727,20-10-2014,24-10-2014,Second Class
GH-14485,CA-2013-117590,09-12-2013,11-12-2013,First Class
GH-14485,CA-2013-117590,09-12-2013,11-12-2013,First Class
SN-20710,CA-2012-117415,27-12-2012,31-12-2012,Standard Class
SN-20710,CA-2012-117415,27-12-2012,31-12-2012,Standard Class
SN-20710,CA-2012-117415,27-12-2012,31-12-2012,Standard Class
SN-20710,CA-2012-117415,27-12-2012,31-12-2012,Standard Class
LC-16930,CA-2014-120999,11-09-2014,16-09-2014,Standard Class
RA-19885,CA-2013-101343,18-07-2013,23-07-2013,Standard Class
ES-14080,CA-2014-139619,20-09-2014,24-09-2014,Standard Class
ON-18715,CA-2013-118255,12-03-2013,14-03-2013,First Class
ON-18715,CA-2013-118255,12-03-2013,14-03-2013,First Class
PO-18865,CA-2011-146703,20-10-2011,25-10-2011,Second Class
LH-16900,CA-2013-169194,21-06-2013,26-06-2013,Standard Class
LH-16900,CA-2013-169194,21-06-2013,26-06-2013,Standard Class
DP-13000,CA-2012-115742,18-04-2012,22-04-2012,Standard Class
DP-13000,CA-2012-115742,18-04-2012,22-04-2012,Standard Class
DP-13000,CA-2012-115742,18-04-2012,22-04-2012,Standard Class
DP-13000,CA-2012-115742,18-04-2012,22-04-2012,Standard Class
JM-15265,CA-2013-105816,12-12-2013,18-12-2013,Standard Class
JM-15265,CA-2013-105816,12-12-2013,18-12-2013,Standard Class
TB-21055,CA-2013-111682,18-06-2013,19-06-2013,First Class
TB-21055,CA-2013-111682,18-06-2013,19-06-2013,First Class
TB-21055,CA-2013-111682,18-06-2013,19-06-2013,First Class
TB-21055,CA-2013-111682,18-06-2013,19-06-2013,First Class
TB-21055,CA-2013-111682,18-06-2013,19-06-2013,First Class
TB-21055,CA-2013-111682,18-06-2013,19-06-2013,First Class
TB-21055,CA-2013-111682,18-06-2013,19-06-2013,First Class
KM-16720,CA-2012-135545,24-11-2012,30-11-2012,Standard Class
KM-16720,CA-2012-135545,24-11-2012,30-11-2012,Standard Class
KM-16720,CA-2012-135545,24-11-2012,30-11-2012,Standard Class
KM-16720,CA-2012-135545,24-11-2012,30-11-2012,Standard Class
PS-18970,US-2012-164175,30-04-2012,05-05-2012,Standard Class
BS-11590,CA-2011-106376,05-12-2011,10-12-2011,Standard Class
BS-11590,CA-2011-106376,05-12-2011,10-12-2011,Standard Class
KD-16270,CA-2013-119823,05-06-2013,07-06-2013,First Class
HM-14980,CA-2013-106075,19-09-2013,24-09-2013,Standard Class
TB-21520,CA-2014-114440,15-09-2014,18-09-2014,Second Class
JE-15745,US-2012-134026,26-04-2012,02-05-2012,Standard Class
JE-15745,US-2012-134026,26-04-2012,02-05-2012,Standard Class
JE-15745,US-2012-134026,26-04-2012,02-05-2012,Standard Class
KB-16600,US-2014-118038,10-12-2014,12-12-2014,First Class
KB-16600,US-2014-118038,10-12-2014,12-12-2014,First Class
KB-16600,US-2014-118038,10-12-2014,12-12-2014,First Class
JE-15745,US-2011-147606,26-11-2011,01-12-2011,Second Class
