Customer ID,Order ID,Region,Product ID,Category,Sub-Category,Product Name
CG-12520,405-8078784-5731545,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
CG-12520,171-9198151-1101146,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
DV-13045,404-0687676-7273146,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
SO-20335,403-9615377-8133951,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
SO-20335,407-1069790-7240320,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
BH-11710,404-1490984-4578765,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
BH-11710,408-5748499-6859555,West,OFF-AR-10002833,Office Supplies,Art,Newell 322
BH-11710,406-7807733-3785945,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
BH-11710,407-5443024-5233168,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
BH-11710,402-4393761-0311520,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
BH-11710,407-5633625-6970741,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
BH-11710,171-4638481-6326716,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black
AA-10480,405-5513694-8146768,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
IM-15070,408-7955685-3083534,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
HP-14815,408-1298370-1920302,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
HP-14815,403-4965581-9520319,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
PK-19075,406-9379318-6555504,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
AG-10270,405-9013803-8009918,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
ZD-21925,402-4030358-5835511,West,OFF-AR-10003056,Office Supplies,Art,Newell 341
ZD-21925,405-5957858-1051546,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
ZD-21925,405-0607769-0716360,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
KB-16585,404-8494550-5860325,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318
KB-16585,171-1305077-2813934,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
SF-20065,404-6019946-2909948,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
EB-13870,402-3384087-4005164,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
EH-13945,405-8191138-5176316,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
EH-13945,403-9230474-9657916,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
