Customer ID,Sales,Quantity,Discount,Profit
CG-12520,261.96,2,0,41.9136
CG-12520,731.94,3,0,219.582
DV-13045,14.62,2,0,6.8714
SO-20335,957.5775,5,0.45,-383.031
SO-20335,22.368,2,0.2,2.5164
BH-11710,48.86,7,0,14.1694
BH-11710,7.28,4,0,1.9656
BH-11710,907.152,6,0.2,90.7152
BH-11710,18.504,3,0.2,5.7825
BH-11710,114.9,5,0,34.47
BH-11710,1706.184,9,0.2,85.3092
BH-11710,911.424,4,0.2,68.3568
AA-10480,15.552,3,0.2,5.4432
IM-15070,407.976,3,0.2,132.5922
HP-14815,68.81,5,0.8,-123.858
HP-14815,2.544,3,0.8,-3.816
PK-19075,665.88,6,0,13.3176
AG-10270,55.5,2,0,9.99
ZD-21925,8.56,2,0,2.4824
ZD-21925,213.48,3,0.2,16.011
ZD-21925,22.72,4,0.2,7.384
KB-16585,19.46,7,0,5.0596
KB-16585,60.34,7,0,15.6884
SF-20065,71.372,2,0.3,-1.0196
EB-13870,1044.63,3,0,240.2649
EH-13945,11.648,2,0.2,4.2224
EH-13945,90.57,3,0,11.7741
TB-21520,3083.43,7,0.5,-1665.0522
TB-21520,9.618,2,0.7,-7.0532
TB-21520,124.2,3,0.2,15.525
TB-21520,3.264,2,0.2,1.1016
TB-21520,86.304,6,0.2,9.7092
TB-21520,6.858,6,0.7,-5.715
TB-21520,15.76,2,0.2,3.546
MA-17560,29.472,3,0.2,9.9468
GH-14485,1097.544,7,0.2,123.4737
GH-14485,190.92,5,0.6,-147.963
SN-20710,113.328,9,0.2,35.415
SN-20710,532.3992,3,0.32,-46.9764
SN-20710,212.058,3,0.3,-15.147
SN-20710,371.168,4,0.2,41.7564
LC-16930,147.168,4,0.2,16.5564
RA-19885,77.88,2,0,3.894
ES-14080,95.616,2,0.2,9.5616
ON-18715,45.98,2,0,19.7714
ON-18715,17.46,2,0,8.2062
PO-18865,211.96,4,0,8.4784
LH-16900,45,3,0,4.95
LH-16900,21.8,2,0,6.104
DP-13000,38.22,6,0,17.9634
DP-13000,75.18,6,0,35.3346
DP-13000,6.16,2,0,2.9568
DP-13000,89.99,1,0,17.0981
JM-15265,15.26,7,0,6.2566
JM-15265,1029.95,5,0,298.6855
TB-21055,208.56,6,0,52.14
TB-21055,32.4,5,0,15.552
TB-21055,319.41,5,0.1,7.098
TB-21055,14.56,2,0,6.9888
TB-21055,30,2,0,3.3
TB-21055,48.48,4,0.2,16.362
TB-21055,1.68,1,0,0.84
KM-16720,13.98,2,0,6.1512
KM-16720,25.824,6,0.2,9.3612
KM-16720,146.73,3,0,68.9631
KM-16720,79.76,4,0,22.3328
PS-18970,213.115,5,0.3,-15.2225
BS-11590,1113.024,8,0.2,111.3024
BS-11590,167.968,4,0.2,62.988
KD-16270,75.88,2,0,35.6636
HM-14980,4.616,1,0.2,1.731
TB-21520,19.05,3,0,8.763
JE-15745,831.936,8,0.2,-114.3912
JE-15745,97.04,2,0.2,1.213
JE-15745,72.784,1,0.2,-18.196
KB-16600,1.248,3,0.8,-1.9344
KB-16600,9.708,3,0.6,-5.8248
KB-16600,27.24,3,0.2,2.724
JE-15745,19.3,5,0.6,-14.475
SC-20770,208.16,1,0,56.2032
SC-20770,16.74,3,0,8.0352
DN-13690,14.9,5,0,4.172
DN-13690,21.39,1,0,6.2031
JC-16105,200.984,7,0.2,62.8075
CS-12400,230.376,3,0.2,-48.9549
PO-18865,301.96,2,0,33.2156
PG-18895,19.99,1,0,6.7966
PG-18895,6.16,2,0,2.9568
GM-14455,158.368,7,0.2,13.8572
JS-15685,20.1,3,0,6.633
JS-15685,73.584,2,0.2,8.2782
JS-15685,6.48,1,0,3.1104
KB-16315,12.96,2,0,6.2208
KB-16315,53.34,3,0,16.5354
KB-16315,32.96,2,0,16.1504
RB-19705,5.682,1,0.7,-3.788
PN-18775,96.53,7,0,40.5426
KD-16345,51.312,3,0.2,17.9592
ER-13855,77.88,6,0,22.5852
RB-19465,64.624,7,0.2,22.6184
RB-19465,95.976,3,0.2,-10.7973
RB-19465,1.788,3,0.8,-3.0396
GZ-14470,23.92,4,0,11.7208
LC-16870,238.896,6,0.2,-26.8758
LC-16870,102.36,3,0.2,-3.8385
LC-16870,36.882,3,0.7,-25.8174
JM-15250,74.112,8,0.2,17.6016
JM-15250,27.992,1,0.2,2.0994
JM-15250,3.304,1,0.2,1.0738
PA-19060,339.96,5,0.2,67.992
CV-12805,41.96,2,0,10.9096
CL-12565,75.96,2,0,22.788
CL-12565,27.24,6,0,13.3476
RC-19960,40.096,14,0.2,14.5348
RC-19960,4.72,2,0.2,1.652
RC-19960,23.976,3,0.2,7.4925
RC-19960,130.464,6,0.2,44.0316
DK-13090,787.53,3,0,165.3813
GG-14650,157.794,1,0.7,-115.7156
SC-20725,47.04,3,0,18.3456
SC-20725,30.84,4,0,13.878
SC-20725,226.56,6,0,63.4368
SC-20725,115.02,9,0,51.759
SC-20725,68.04,7,0,19.7316
AD-10180,600.558,3,0.3,-8.5794
PF-19165,617.7,6,0.5,-407.682
TS-21610,2.388,2,0.7,-1.8308
TS-21610,243.992,7,0.2,30.499
LS-16975,81.424,2,0.2,-9.1602
LS-16975,238.56,3,0,26.2416
DW-13585,59.97,5,0.4,-11.994
DW-13585,78.304,2,0.2,29.364
DW-13585,21.456,9,0.2,6.9732
LC-16885,20.04,3,0,9.6192
LC-16885,35.44,1,0,16.6568
LC-16885,11.52,4,0,3.456
LC-16885,4.02,2,0,1.9698
LC-16885,76.176,3,0.2,26.6616
LC-16885,65.88,6,0,18.4464
LC-16885,43.12,14,0,20.6976
JD-15895,82.8,2,0.2,10.35
SH-19975,8.82,3,0,2.3814
SH-19975,10.86,3,0,5.1042
SH-19975,143.7,3,0,68.976
SG-20080,839.43,3,0,218.2518
HA-14920,671.93,7,0,20.1579
MG-17680,93.888,4,0.2,12.9096
JE-16165,384.45,11,0,103.8015
JE-16165,149.97,3,0,5.9988
JE-16165,1951.84,8,0,585.552
JE-16165,171.55,5,0,80.6285
TW-21025,157.92,5,0.2,17.766
TW-21025,203.184,2,0.2,15.2388
