Order ID,gender,age,payment_method,invoice_date
405-8078784-5731545,Female,28,Credit Card,05-08-2022
171-9198151-1101146,Male,21,Debit Card,12-12-2021
404-0687676-7273146,Male,20,Cash,09-11-2021
403-9615377-8133951,Female,66,Credit Card,16-05-2021
407-1069790-7240320,Female,53,Cash,24-10-2021
404-1490984-4578765,Female,28,Credit Card,24-05-2022
408-5748499-6859555,Female,49,Cash,13-03-2022
406-7807733-3785945,Female,32,Credit Card,13-01-2021
407-5443024-5233168,Male,69,Credit Card,04-11-2021
402-4393761-0311520,Female,60,Credit Card,22-08-2021
407-5633625-6970741,Female,36,Cash,25-12-2022
171-4638481-6326716,Female,29,Credit Card,28-10-2022
405-5513694-8146768,Female,67,Debit Card,31-07-2022
408-7955685-3083534,Male,25,Cash,17-11-2022
408-1298370-1920302,Female,67,Credit Card,03-06-2022
403-4965581-9520319,Male,24,Credit Card,07-11-2021
406-9379318-6555504,Male,65,Debit Card,16-01-2021
405-9013803-8009918,Female,42,Credit Card,05-01-2022
402-4030358-5835511,Female,46,Cash,26-07-2021
405-5957858-1051546,Male,24,Cash,07-03-2023
405-0607769-0716360,Male,23,Credit Card,15-02-2023
404-8494550-5860325,Female,27,Cash,01-05-2021
171-1305077-2813934,Male,52,Credit Card,18-06-2022
404-6019946-2909948,Male,44,Cash,26-10-2021
402-3384087-4005164,Female,42,Cash,16-12-2022
405-8191138-5176316,Male,51,Debit Card,16-05-2021
403-9230474-9657916,Female,25,Credit Card,20-04-2022
408-3484251-6901959,Male,50,Cash,10-10-2022
405-7755803-4729935,Female,65,Cash,23-08-2022
404-5933402-8801952,Male,29,Credit Card,29-04-2021
171-9040274-9291563,Female,66,Debit Card,04-07-2022
403-7056319-0979561,Male,23,Credit Card,21-11-2021
404-9632124-1107550,Female,32,Credit Card,23-02-2022
402-1465437-0579556,Male,51,Debit Card,11-07-2021
404-7774085-3780319,Female,66,Credit Card,30-08-2022
402-2764952-1492318,Male,68,Credit Card,04-01-2023
406-0272200-7784379,Male,43,Credit Card,21-06-2022
403-4367956-2849158,Female,59,Credit Card,08-07-2022
403-4242957-8599555,Male,54,Cash,27-02-2022
408-7165704-5643524,Male,24,Cash,19-12-2022
402-8210765-3935569,Female,49,Cash,10-09-2021
406-7398201-3869914,Male,67,Credit Card,14-02-2022
408-3478480-0881162,Female,48,Cash,28-04-2022
402-7595162-9129931,Female,40,Cash,20-06-2022
171-6876154-6233146,Female,41,Credit Card,21-04-2022
408-3917043-5314763,Male,46,Credit Card,09-12-2022
408-9281152-6213100,Female,19,Credit Card,12-01-2023
403-3496411-3082707,Female,43,Debit Card,07-11-2022
171-9208368-0157156,Male,18,Debit Card,07-02-2022
408-2137113-0982751,Female,22,Debit Card,13-06-2021
402-3628566-9688333,Female,61,Cash,23-08-2021
408-7138000-9728362,Female,41,Cash,24-02-2023
402-1752649-2274748,Female,53,Credit Card,12-01-2023
402-7944191-1869101,Female,43,Cash,22-02-2022
407-4063876-9566742,Female,45,Debit Card,12-03-2021
403-0752752-4656334,Female,29,Cash,02-01-2022
406-8879861-2081117,Male,43,Cash,26-11-2021
406-8089333-7941903,Female,19,Credit Card,21-04-2021
171-3072652-6805159,Female,67,Cash,23-06-2021
171-2592464-6846743,Female,36,Cash,14-12-2021
404-2262140-4696366,Male,64,Credit Card,09-06-2022
405-3594372-1614709,Female,33,Debit Card,26-11-2021
407-2974257-4781134,Female,33,Credit Card,05-02-2021
171-4137548-0481151,Male,66,Cash,06-03-2022
405-4461562-9113959,Female,29,Debit Card,09-05-2022
404-4535078-5241919,Male,22,Cash,17-10-2022
405-8387725-2971512,Female,63,Cash,22-01-2022
405-6480932-8759528,Female,24,Debit Card,14-03-2021
405-9966506-3155561,Female,24,Cash,27-04-2022
408-7029737-8028367,Female,44,Credit Card,19-11-2021
407-2189901-7515567,Male,34,Cash,10-09-2022
402-2105657-2899562,Female,47,Cash,04-09-2021
406-1326801-8886709,Male,38,Cash,21-08-2022
408-7760667-5809130,Female,57,Debit Card,02-10-2021
405-8457623-9269955,Male,67,Cash,07-01-2023
408-6820155-3521913,Male,41,Credit Card,08-06-2021
403-6190683-2687538,Female,40,Debit Card,17-04-2021
408-4069830-3819562,Female,69,Cash,04-09-2021
171-7367545-7081126,Female,47,Cash,20-07-2022
404-6522553-9345930,Female,53,Credit Card,14-07-2021
403-9950518-0349133,Male,40,Cash,01-11-2022
407-6599093-6553153,Male,60,Credit Card,06-01-2023
