Order ID,Status,seller city,seller state,seller-postal-code,ship-country,B2B
405-8078784-5731545,Cancelled,MUMBAI,MAHARASHTRA,400081,IN,FALSE
171-9198151-1101146,Shipped - Delivered to Buyer,BENGALURU,KARNATAKA,560085,IN,FALSE
404-0687676-7273146,Shipped,NAVI MUMBAI,MAHARASHTRA,410210,IN,TRUE
403-9615377-8133951,Cancelled,PUDUCHERRY,PUDUCHERRY,605008,IN,FALSE
407-1069790-7240320,Shipped,CHENNAI,TAMIL NADU,600073,IN,FALSE
404-1490984-4578765,Shipped,GHAZIABAD,UTTAR PRADESH,201102,IN,FALSE
408-5748499-6859555,Shipped,CHANDIGARH,CHANDIGARH,160036,IN,FALSE
406-7807733-3785945,Shipped - Delivered to Buyer,HYDERABAD,TELANGANA,500032,IN,FALSE
407-5443024-5233168,Cancelled,HYDERABAD,TELANGANA,500008,IN,FALSE
402-4393761-0311520,Shipped,Chennai,TAMIL NADU,600041,IN,FALSE
407-5633625-6970741,Shipped,CHENNAI,TAMIL NADU,600073,IN,FALSE
171-4638481-6326716,Shipped,NOIDA,UTTAR PRADESH,201303,IN,FALSE
405-5513694-8146768,Shipped - Delivered to Buyer,Amravati.,MAHARASHTRA,444606,IN,FALSE
408-7955685-3083534,Shipped,MUMBAI,MAHARASHTRA,400053,IN,FALSE
408-1298370-1920302,Shipped - Delivered to Buyer,MUMBAI,MAHARASHTRA,400053,IN,FALSE
403-4965581-9520319,Shipped - Delivered to Buyer,GUNTAKAL,ANDHRA PRADESH,515801,IN,FALSE
406-9379318-6555504,Shipped,JAIPUR,RAJASTHAN,302020,IN,FALSE
405-9013803-8009918,Shipped,NEW DELHI,DELHI,110074,IN,FALSE
402-4030358-5835511,Shipped - Delivered to Buyer,Gurgaon,HARYANA,122004,IN,FALSE
405-5957858-1051546,Shipped,BENGALURU,KARNATAKA,560017,IN,FALSE
405-0607769-0716360,Shipped,TIRUCHIRAPPALLI,TAMIL NADU,620018,IN,FALSE
404-8494550-5860325,Shipped,BENGALURU,KARNATAKA,560040,IN,FALSE
171-1305077-2813934,Shipped,HYDERABAD,TELANGANA,500072,IN,FALSE
404-6019946-2909948,Cancelled,pune,MAHARASHTRA,411044,IN,FALSE
402-3384087-4005164,Shipped,TEZPUR,ASSAM,784001,IN,FALSE
405-8191138-5176316,Shipped - Delivered to Buyer,RANCHI,JHARKHAND,834002,IN,FALSE
403-9230474-9657916,Shipped - Delivered to Buyer,BILASPUR,CHHATTISGARH,495001,IN,FALSE
408-3484251-6901959,Shipped,PUNE,MAHARASHTRA,411052,IN,FALSE
405-7755803-4729935,Shipped,BENGALURU,KARNATAKA,560037,IN,FALSE
404-5933402-8801952,Cancelled,GUWAHATI,ASSAM,781003,IN,FALSE
171-9040274-9291563,Shipped,THIRUVARUR,TAMIL NADU,613704,IN,FALSE
403-7056319-0979561,Shipped,LUCKNOW,UTTAR PRADESH,226010,IN,FALSE
404-9632124-1107550,Shipped - Delivered to Buyer,VISAKHAPATNAM,ANDHRA PRADESH,530016,IN,FALSE
402-1465437-0579556,Shipped - Delivered to Buyer,JEYPUR,ODISHA,764001,IN,FALSE
404-7774085-3780319,Shipped,HYDERABAD,TELANGANA,500028,IN,FALSE
402-2764952-1492318,Shipped - Delivered to Buyer,LUCKNOW,UTTAR PRADESH,226016,IN,FALSE
406-0272200-7784379,Shipped,CHENNAI,TAMIL NADU,600033,IN,FALSE
403-4367956-2849158,Shipped,NEW DELHI,DELHI,110092,IN,FALSE
403-4242957-8599555,Shipped,THIRUVANANTHAPURAM,KERALA,695011,IN,FALSE
408-7165704-5643524,Shipped,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE
402-8210765-3935569,Shipped,JABALPUR,MADHYA PRADESH,482002,IN,FALSE
406-7398201-3869914,Shipped - Delivered to Buyer,MUMBAI,MAHARASHTRA,400092,IN,FALSE
408-3478480-0881162,Shipped,LUCKNOW,UTTAR PRADESH,226017,IN,FALSE
402-7595162-9129931,Shipped,MUMBAI,MAHARASHTRA,400076,IN,FALSE
171-6876154-6233146,Shipped,KOLKATA,WEST BENGAL,700014,IN,FALSE
408-3917043-5314763,Shipped,ONGOLE,ANDHRA PRADESH,523001,IN,FALSE
408-9281152-6213100,Shipped,SECUNDERABAD,TELANGANA,500017,IN,FALSE
403-3496411-3082707,Shipped,HYDERABAD,TELANGANA,500062,IN,FALSE
171-9208368-0157156,Shipped - Delivered to Buyer,KEWALPUR,UTTAR PRADESH,271881,IN,FALSE
408-2137113-0982751,Shipped,CUTTACK,ODISHA,753012,IN,FALSE
402-3628566-9688333,Shipped,BADLAPUR,MAHARASHTRA,421503,IN,FALSE
408-7138000-9728362,Shipped,dimapur,NAGALAND,797112,IN,FALSE
402-1752649-2274748,Shipped,BENGALURU,KARNATAKA,560047,IN,FALSE
402-7944191-1869101,Shipped,BENGALURU,KARNATAKA,560076,IN,FALSE
407-4063876-9566742,Shipped,WARANGAL,TELANGANA,506001,IN,FALSE
403-0752752-4656334,Shipped,DHAULPUR,RAJASTHAN,328024,IN,FALSE
406-8879861-2081117,Shipped,GUWAHATI,ASSAM,781029,IN,FALSE
406-8089333-7941903,Shipped,Bengaluru,KARNATAKA,560103,IN,FALSE
171-3072652-6805159,Shipped,HYDERABAD,TELANGANA,500072,IN,FALSE
171-2592464-6846743,Shipped - Delivered to Buyer,BENGALURU,KARNATAKA,560023,IN,FALSE
404-2262140-4696366,Shipped,NAGPUR,MAHARASHTRA,440022,IN,FALSE
405-3594372-1614709,Shipped,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE
407-2974257-4781134,Shipped,THANE,MAHARASHTRA,400607,IN,FALSE
171-4137548-0481151,Cancelled,Dahod,Gujarat,389151,IN,FALSE
405-4461562-9113959,Shipped,RANCHI,JHARKHAND,834004,IN,FALSE
404-4535078-5241919,Shipped,PUNE,MAHARASHTRA,411014,IN,FALSE
405-8387725-2971512,Shipped,BENGALURU,KARNATAKA,560040,IN,FALSE
405-6480932-8759528,Shipped,VIJAPURA,KARNATAKA,586201,IN,FALSE
405-9966506-3155561,Shipped - Delivered to Buyer,CHENNAI,TAMIL NADU,600041,IN,FALSE
408-7029737-8028367,Shipped,MUMBAI,MAHARASHTRA,400080,IN,FALSE
407-2189901-7515567,Shipped - Delivered to Buyer,bangalore,KARNATAKA,560001,IN,FALSE
402-2105657-2899562,Shipped,BENGALURU,KARNATAKA,560098,IN,FALSE
406-1326801-8886709,Shipped - Delivered to Buyer,BERHAMPUR,ODISHA,760002,IN,FALSE
408-7760667-5809130,Shipped,HYDERABAD,TELANGANA,500085,IN,FALSE
405-8457623-9269955,Shipped,PUNE,MAHARASHTRA,411045,IN,FALSE
408-6820155-3521913,Shipped,TEZPUR,ASSAM,784001,IN,FALSE
403-6190683-2687538,Shipped,HIMMATNAGAR,Gujarat,383001,IN,FALSE
408-4069830-3819562,Shipped,Kolkata,WEST BENGAL,700048,IN,FALSE
171-7367545-7081126,Shipped,HYDERABAD,TELANGANA,502032,IN,FALSE
404-6522553-9345930,Cancelled,DEHRADUN,UTTARAKHAND,248001,IN,FALSE
403-9950518-0349133,Cancelled,HYDERABAD,TELANGANA,500072,IN,FALSE
407-6599093-6553153,Shipped - Delivered to Buyer,KOLKATA,WEST BENGAL,700078,IN,FALSE
403-3763475-2237125,Shipped,DHARMAPURI,TAMIL NADU,636705,IN,FALSE
405-1492294-0323520,Shipped,DEHRADUN,UTTARAKHAND,248005,IN,FALSE
403-1162895-2484367,Shipped - Delivered to Buyer,JAIPUR,RAJASTHAN,303905,IN,FALSE
171-6833843-5473114,Shipped,VADODARA,Gujarat,390019,IN,FALSE
403-1477057-8253913,Shipped,CHAVAKKAD,KERALA,680506,IN,FALSE
408-2114413-6089906,Shipped,PATNA,BIHAR,800026,IN,FALSE
405-1879750-2639521,Shipped - Delivered to Buyer,CHENNAI,TAMIL NADU,600028,IN,FALSE
406-5727754-5302723,Shipped,VADODARA,Gujarat,390018,IN,FALSE
405-0901744-8270705,Shipped,VADODARA,Gujarat,390003,IN,FALSE
405-9112089-3379536,Cancelled,PUNE,MAHARASHTRA,411046,IN,FALSE
408-6357132-2310703,Shipped,Jammu,JAMMU & KASHMIR,180011,IN,FALSE
406-5334922-9670748,Shipped,bangalore,KARNATAKA,560026,IN,FALSE
402-8519791-3706738,Shipped,NEW DELHI,DELHI,110036,IN,FALSE
408-1830318-0357940,Shipped,NARNAUND,HARYANA,125039,IN,FALSE
406-5103760-7326749,Shipped,Ahmedabad,Gujarat,380051,IN,FALSE
402-7841951-1872363,Cancelled,NEW DELHI,DELHI,110036,IN,FALSE
408-7698765-2294756,Shipped - Delivered to Buyer,AMBARNATH,MAHARASHTRA,421502,IN,FALSE
404-1856281-9996319,Shipped - Delivered to Buyer,GWALIOR,MADHYA PRADESH,474005,IN,FALSE
406-5406738-7113145,Shipped,NEW DELHI,DELHI,110078,IN,FALSE
405-5257740-5301158,Shipped - Delivered to Buyer,ROHTAK,HARYANA,124001,IN,FALSE
405-2072502-4089911,Shipped,ROHTAK,HARYANA,124001,IN,FALSE
405-0882561-5952340,Shipped,Kolkata,WEST BENGAL,700156,IN,FALSE
403-7266170-1163500,Shipped - Delivered to Buyer,MUMBAI,MAHARASHTRA,400076,IN,FALSE
405-8114272-1687512,Shipped,NEW DELHI,DELHI,110034,IN,FALSE
171-6138639-1478731,Shipped,HYDERABAD,TELANGANA,500054,IN,FALSE
405-4059216-4541150,Shipped,HYDERABAD,TELANGANA,500072,IN,FALSE
405-1152015-7333945,Shipped,PATNA,BIHAR,800002,IN,FALSE
406-0177436-6731556,Shipped,RAMAGUNDAM,TELANGANA,505211,IN,FALSE
406-0715107-8168308,Shipped,PITHORAGARH,UTTARAKHAND,262501,IN,FALSE
403-0104882-7373900,Cancelled,HIMMATNAGAR,Gujarat,383001,IN,FALSE
405-3002282-6797102,Shipped,KOLKATA,WEST BENGAL,700057,IN,FALSE
407-8466904-3461908,Shipped,MUMBAI,MAHARASHTRA,400101,IN,FALSE
171-3305587-5364338,Shipped,HYDERABAD,TELANGANA,500053,IN,FALSE
406-8961316-8137943,Shipped - Delivered to Buyer,"GUWAHATI, KAMRUP (M)",ASSAM,781014,IN,FALSE
171-2813040-8296320,Shipped,KOLAR,KARNATAKA,563101,IN,FALSE
408-9845791-1393151,Shipped,PATIALA,PUNJAB,147001,IN,FALSE
402-4277204-2348328,Shipped,REWA,MADHYA PRADESH,486001,IN,FALSE
171-3049339-2085136,Shipped,BONGAIGAON,ASSAM,783380,IN,FALSE
405-9928526-2470747,Shipped,HYDERABAD,TELANGANA,500087,IN,FALSE
405-4908072-0260360,Shipped - Delivered to Buyer,BENGALURU,KARNATAKA,560055,IN,FALSE
406-3984186-5973150,Shipped,Chengalpattu,TAMIL NADU,603002,IN,FALSE
171-8635309-7508346,Shipped,PERAMBALUR,TAMIL NADU,621212,IN,FALSE
171-0293372-4913973,Cancelled,KOLAR,KARNATAKA,563101,IN,FALSE
402-8288606-4313118,Shipped,BILASPUR,HIMACHAL PRADESH,174001,IN,FALSE
402-8746990-6412346,Shipped,CHENNAI,TAMIL NADU,600099,IN,FALSE
402-0294212-5431551,Shipped,VARANASI,UTTAR PRADESH,221010,IN,FALSE
406-1530134-2105912,Shipped,BENGALURU,KARNATAKA,560036,IN,FALSE
403-5222550-4437140,Shipped,COIMBATORE,TAMIL NADU,641035,IN,FALSE
408-1482435-5202714,Shipped - Delivered to Buyer,CHIRMIRI,CHHATTISGARH,497449,IN,FALSE
403-6442534-2769112,Cancelled,AZAMGARH,UTTAR PRADESH,276302,IN,FALSE
408-3113070-0750756,Shipped,KALYAN,MAHARASHTRA,421306,IN,FALSE
404-7796841-1880317,Shipped,NEW DELHI,DELHI,110016,IN,FALSE
405-2142542-0941949,Shipped,HYDERABAD,TELANGANA,502032,IN,FALSE
405-0286717-7761132,Shipped,HYDERABAD,TELANGANA,502032,IN,FALSE
406-9021273-9221106,Shipped,GUWAHATI,ASSAM,781026,IN,FALSE
404-5381335-4577925,Shipped,MYSORE,KARNATAKA,570008,IN,FALSE
171-0131752-2560336,Shipped - Delivered to Buyer,BARABANKI,UTTAR PRADESH,225001,IN,FALSE
407-4235449-1353916,Shipped - Delivered to Buyer,AMILA,UTTAR PRADESH,275301,IN,FALSE
171-8061614-5688327,Shipped,VIJAYAWADA,ANDHRA PRADESH,520010,IN,FALSE
407-8248783-4261958,Shipped,RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,493331,IN,FALSE
404-6513062-3876305,Shipped - Delivered to Buyer,TIRUCHIRAPPALLI,TAMIL NADU,620018,IN,FALSE
406-7779874-9136347,Shipped,HERBERTPUR,UTTARAKHAND,248142,IN,FALSE
406-9638549-1733961,Shipped,BENGALURU,KARNATAKA,560048,IN,FALSE
407-8801185-0134713,Shipped,bangalore,KARNATAKA,560001,IN,FALSE
171-3625443-6505905,Shipped,KALAMASSERY,KERALA,682021,IN,FALSE
